src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,fwd_packets,bwd_packets,total_packets,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,flow_bytes_per_sec,flow_packets_per_sec,syn_flag,ack_flag,rst_flag,fin_flag,psh_flag,label,is_attack
192.168.1.142,10.0.0.34,42572,53,TCP,1.2011,79,25,104,516.78,296.05,737.51,110.37,44746.24,86.59,0,1,0,0,1,Normal,0
192.168.1.13,10.0.0.29,36778,80,UDP,1.5781,86,58,144,201.31,94.13,308.49,53.59,18369.81,91.25,1,1,0,1,0,Normal,0
192.168.1.156,10.0.0.46,21824,443,TCP,3.3594,89,26,115,759.47,622.94,896.0,68.27,25998.04,34.23,0,1,0,0,0,Normal,0
192.168.1.247,10.0.0.36,6459,22,TCP,0.9416,39,12,51,662.46,508.55,816.37,76.95,35880.14,54.16,1,1,0,1,1,Normal,0
192.168.1.185,10.0.0.25,39198,8080,TCP,0.3232,61,3,64,416.55,179.89,653.2,118.33,82490.27,198.03,0,1,0,1,0,Normal,0
192.168.1.16,10.0.0.46,30323,21,TCP,0.9739,76,64,140,282.55,60.0,600.0,23.14,40617.92,143.75,1,1,0,0,1,Brute Force,1
192.168.1.85,10.0.0.35,53062,443,TCP,3.3679,66,35,101,474.98,341.64,608.32,66.67,14244.18,29.99,1,1,0,1,0,Normal,0
192.168.1.69,10.0.0.13,12369,80,TCP,0.4491,98,25,123,439.39,382.95,495.84,28.22,120349.44,273.9,0,1,0,0,0,Normal,0
192.168.1.27,10.0.0.3,43757,80,TCP,0.7638,52,36,88,600.08,479.64,720.52,60.22,69138.84,115.22,0,0,0,0,0,Normal,0
192.168.1.172,10.0.0.4,4282,443,TCP,0.7141,48,43,91,545.24,312.61,777.87,116.31,69486.36,127.44,0,1,0,1,0,Normal,0
192.168.1.159,10.0.0.40,34758,3389,TCP,1.2569,53,60,113,417.87,60.0,600.0,34.54,37567.24,89.9,1,1,1,1,1,Brute Force,1
192.168.1.101,10.0.0.41,63368,80,TCP,1.5436,19,77,96,569.08,465.74,672.43,51.67,35392.47,62.19,0,1,0,1,1,Normal,0
192.168.1.247,10.0.0.38,4220,4444,TCP,36.6289,263,101,364,579.76,64.0,1460.0,52.59,5761.41,9.94,1,1,0,1,1,Infiltration,1
192.168.1.126,10.0.0.34,29249,21,TCP,1.6853,79,32,111,348.5,60.0,600.0,14.65,22954.21,65.87,1,1,1,1,1,Brute Force,1
192.168.1.206,10.0.0.19,58199,443,UDP,0.4853,59,84,143,490.91,245.51,736.3,122.7,144639.42,294.64,0,1,0,1,1,Normal,0
192.168.1.138,10.0.0.48,50616,8080,ICMP,0.9471,23,65,88,447.35,406.98,487.72,20.19,41565.66,92.92,0,1,0,0,1,Normal,0
192.168.1.61,10.0.0.34,23346,21,TCP,0.6613,53,55,108,337.25,60.0,600.0,26.32,55082.32,163.33,1,1,0,1,1,Brute Force,1
192.168.1.246,10.0.0.16,10759,80,TCP,2.9894,1151,3,1154,88.38,54.0,200.0,13.6,34119.49,386.03,1,0,0,0,0,DoS,1
192.168.1.105,10.0.0.39,38313,80,TCP,1.0757,738,1,739,132.83,54.0,200.0,16.76,91258.0,687.01,1,0,0,0,0,DoS,1
192.168.1.168,10.0.0.19,24320,3389,TCP,1.8808,34,18,52,315.95,60.0,600.0,33.35,8735.35,27.65,1,1,1,1,1,Brute Force,1
192.168.1.34,10.0.0.35,43273,22,TCP,1.3707,2,6,8,327.6,166.08,489.12,80.76,1911.99,5.84,0,1,0,0,0,Normal,0
192.168.1.114,10.0.0.35,37514,22,TCP,0.7192,62,65,127,589.12,438.28,739.96,75.42,104030.02,176.59,0,1,0,1,0,Normal,0
192.168.1.146,10.0.0.12,18376,443,UDP,0.4507,5,101,106,608.51,326.06,890.96,141.23,143119.13,235.2,1,1,0,0,1,Normal,0
192.168.1.44,10.0.0.11,48989,8080,TCP,33.6796,6,6,12,168.0,50.0,400.0,19.43,59.86,0.36,1,1,0,0,0,Botnet,1
192.168.1.51,10.0.0.14,57259,443,TCP,0.5572,3685,2,3687,64.5,40.0,128.0,4.3,426825.48,6617.46,1,0,0,0,0,DDoS,1
192.168.1.118,10.0.0.44,1812,443,ICMP,0.5567,75,99,174,469.39,312.68,626.09,78.35,146721.45,312.58,0,0,0,0,1,Normal,0
192.168.1.146,10.0.0.20,32496,8080,UDP,2.5719,31,26,57,356.04,79.55,632.54,138.25,7890.92,22.16,0,0,0,1,1,Normal,0
192.168.1.27,10.0.0.43,19478,8080,TCP,1.0457,67,17,84,455.81,304.66,606.97,75.58,36616.18,80.33,0,1,0,0,0,Normal,0
192.168.1.113,10.0.0.3,20405,443,TCP,0.8717,66,106,172,429.23,369.69,488.76,29.77,84691.83,197.31,0,1,0,0,1,Normal,0
192.168.1.141,10.0.0.46,16272,80,TCP,1.8091,549,2,551,147.78,54.0,200.0,23.6,45010.25,304.58,1,0,0,0,0,DoS,1
192.168.1.240,10.0.0.15,49461,80,TCP,0.3387,4781,1,4782,63.09,40.0,128.0,4.8,890709.89,14118.25,1,0,0,0,0,DDoS,1
192.168.1.20,10.0.0.9,17115,443,TCP,93.9133,16,26,42,220.64,50.0,400.0,17.77,98.67,0.45,1,1,0,0,0,Botnet,1
192.168.1.150,10.0.0.13,14474,22,ICMP,0.7063,48,111,159,438.44,353.53,523.36,42.46,98697.4,225.11,0,1,0,0,0,Normal,0
192.168.1.173,10.0.0.49,44244,22,TCP,2.1861,69,12,81,499.81,291.03,708.59,104.39,18518.92,37.05,0,1,0,0,0,Normal,0
192.168.1.221,10.0.0.20,31831,80,TCP,15.7465,1200,4,1204,105.53,54.0,200.0,11.35,8069.11,76.46,1,0,0,0,0,DoS,1
192.168.1.246,10.0.0.3,37641,80,TCP,8.0774,816,1,817,148.56,54.0,200.0,5.09,15026.47,101.15,1,0,0,0,0,DoS,1
192.168.1.144,10.0.0.33,11415,443,TCP,0.0418,3505,1,3506,87.49,40.0,128.0,3.19,7337893.65,83870.28,1,0,1,0,0,DDoS,1
192.168.1.245,10.0.0.4,10876,21,TCP,1.8519,72,63,135,354.14,60.0,600.0,25.94,25815.84,72.9,1,1,0,1,1,Brute Force,1
192.168.1.16,10.0.0.19,63997,80,TCP,4.85,80,72,152,516.41,447.19,585.63,34.61,16184.62,31.34,0,1,0,0,1,Normal,0
192.168.1.173,10.0.0.12,35517,80,TCP,1.1907,89,58,147,524.48,296.98,751.97,113.75,64747.53,123.45,0,1,0,0,1,Normal,0
192.168.1.62,10.0.0.26,64757,8080,UDP,7.4391,16,66,82,759.27,656.88,861.66,51.19,8369.33,11.02,0,1,0,0,1,Normal,0
192.168.1.68,10.0.0.11,7790,80,TCP,0.1989,28,76,104,572.55,441.38,703.72,65.58,299326.52,522.8,0,1,0,0,0,Normal,0
192.168.1.21,10.0.0.38,56441,80,TCP,0.9201,3,24,27,587.18,416.08,758.29,85.55,17230.19,29.34,1,1,0,0,0,Normal,0
192.168.1.53,10.0.0.18,25280,443,TCP,8.1218,10,14,24,492.75,442.33,543.17,25.21,1456.08,2.95,1,1,0,0,1,Normal,0
192.168.1.11,10.0.0.37,28648,80,TCP,0.128,901,4,905,89.01,40.0,128.0,8.77,629220.19,7069.17,1,0,0,0,0,DDoS,1
192.168.1.150,10.0.0.26,58056,443,TCP,6.8446,90,100,190,504.37,236.03,772.72,134.17,14000.98,27.76,0,1,0,0,0,Normal,0
192.168.1.179,10.0.0.17,9229,80,UDP,1.3937,90,17,107,337.89,293.94,381.83,21.97,25941.32,76.77,0,1,0,0,0,Normal,0
192.168.1.144,10.0.0.20,29767,8080,TCP,36.6523,14,7,21,190.3,50.0,400.0,5.29,109.03,0.57,1,1,0,0,1,Botnet,1
192.168.1.118,10.0.0.43,9539,80,UDP,2.1338,82,104,186,513.73,386.48,640.99,63.63,44780.87,87.17,0,1,0,0,1,Normal,0
192.168.1.153,10.0.0.46,40122,443,TCP,0.3242,61,74,135,538.93,465.88,611.98,36.52,224381.65,416.35,0,1,0,1,0,Normal,0
192.168.1.39,10.0.0.40,39664,80,TCP,18.1696,303,4,307,135.05,54.0,200.0,24.96,2281.91,16.9,1,0,0,0,0,DoS,1
192.168.1.120,10.0.0.11,53582,443,TCP,2.8274,11,113,124,482.73,263.75,701.72,109.49,21171.27,43.86,0,1,0,0,0,Normal,0
192.168.1.232,10.0.0.43,17174,8080,TCP,0.4266,45,87,132,490.66,222.0,759.32,134.33,151805.94,309.39,0,1,0,0,0,Normal,0
192.168.1.63,10.0.0.44,3825,443,UDP,2.1193,31,104,135,592.57,429.94,755.2,81.32,37746.76,63.7,0,0,0,0,1,Normal,0
192.168.1.97,10.0.0.7,49108,80,TCP,1.0139,84,98,182,653.46,551.25,755.66,51.1,117296.82,179.5,0,1,0,0,1,Normal,0
192.168.1.127,10.0.0.16,7557,244,TCP,0.0151,2,1,3,40.0,40.0,60.0,3.06,6441.65,198.7,1,0,1,0,0,PortScan,1
192.168.1.188,10.0.0.7,35405,21,TCP,1.1044,32,57,89,348.98,60.0,600.0,36.6,28122.83,80.59,1,1,0,1,1,Brute Force,1
192.168.1.212,10.0.0.25,10395,443,TCP,0.3043,1424,0,1424,62.45,40.0,128.0,5.3,292207.73,4679.34,1,0,0,0,0,DDoS,1
192.168.1.3,10.0.0.26,56752,8080,TCP,76.5578,7,29,36,140.48,50.0,400.0,16.36,66.06,0.47,1,1,0,0,0,Botnet,1
192.168.1.241,10.0.0.40,16258,3389,TCP,1.1576,56,65,121,264.62,60.0,600.0,32.03,27659.8,104.53,1,1,1,1,1,Brute Force,1
192.168.1.103,10.0.0.15,59730,8080,UDP,0.8284,72,84,156,481.91,342.29,621.53,69.81,90746.19,188.31,0,1,0,0,0,Normal,0
192.168.1.41,10.0.0.7,36389,6667,TCP,77.2821,15,9,24,208.56,50.0,400.0,18.68,64.77,0.31,1,1,0,0,1,Botnet,1
192.168.1.111,10.0.0.14,1388,443,TCP,5.7365,25,94,119,528.8,265.37,792.22,131.71,10969.57,20.74,0,1,0,0,0,Normal,0
192.168.1.94,10.0.0.40,13435,21,TCP,1.8597,50,42,92,467.59,60.0,600.0,36.06,23131.83,49.47,1,1,1,0,1,Brute Force,1
192.168.1.25,10.0.0.15,16191,443,TCP,75.9874,28,9,37,183.44,50.0,400.0,5.71,89.32,0.49,1,1,0,0,0,Botnet,1
192.168.1.192,10.0.0.16,23415,22,TCP,4.9,2,108,110,566.06,442.69,689.43,61.69,12707.34,22.45,0,0,0,0,1,Normal,0
192.168.1.142,10.0.0.10,62533,80,TCP,2.8713,78,87,165,480.59,231.06,730.12,124.77,27617.13,57.47,0,1,0,0,0,Normal,0
192.168.1.176,10.0.0.6,36127,443,TCP,0.4988,43,49,92,537.13,384.92,689.34,76.11,99066.14,184.44,0,1,0,0,0,Normal,0
192.168.1.206,10.0.0.29,62846,80,TCP,1.8533,50,49,99,444.69,330.97,558.4,56.86,23754.28,53.42,1,1,0,1,0,Normal,0
192.168.1.90,10.0.0.2,61208,22,TCP,0.9018,61,17,78,347.74,60.0,600.0,20.92,30077.63,86.5,1,1,1,0,1,Brute Force,1
192.168.1.189,10.0.0.47,5539,6667,TCP,107.6527,16,24,40,163.01,50.0,400.0,8.85,60.57,0.37,1,1,0,0,0,Botnet,1
192.168.1.51,10.0.0.5,61732,443,TCP,1.9695,81,12,93,441.62,144.39,738.85,148.62,20853.08,47.22,0,1,0,0,1,Normal,0
192.168.1.215,10.0.0.13,46680,22,TCP,3.1339,95,52,147,489.69,399.31,580.08,45.19,22969.53,46.91,0,1,0,0,1,Normal,0
192.168.1.33,10.0.0.33,5356,53,UDP,1.9271,47,86,133,613.9,435.16,792.64,89.37,42368.79,69.02,1,1,0,0,0,Normal,0
192.168.1.238,10.0.0.12,43880,8080,TCP,3.1659,28,38,66,359.06,151.16,566.96,103.95,7485.31,20.85,0,1,0,1,0,Normal,0
192.168.1.148,10.0.0.18,36501,443,UDP,0.7671,29,66,95,375.24,284.66,465.83,45.29,46472.36,123.85,0,1,0,1,1,Normal,0
192.168.1.209,10.0.0.17,57961,22,TCP,0.9848,43,78,121,704.57,633.12,776.02,35.72,86572.09,122.87,0,1,0,0,1,Normal,0
192.168.1.138,10.0.0.20,60396,566,TCP,0.0096,2,0,2,51.34,40.0,60.0,1.63,10734.81,209.11,1,0,0,0,0,PortScan,1
192.168.1.81,10.0.0.12,46463,8080,TCP,0.6058,48,79,127,583.81,471.47,696.14,56.17,122387.67,209.64,0,1,0,1,1,Normal,0
192.168.1.50,10.0.0.10,11870,22,TCP,2.224,70,108,178,591.46,299.09,883.84,146.19,47339.22,80.04,0,1,0,0,0,Normal,0
192.168.1.205,10.0.0.2,3604,80,TCP,2.8181,151,1,152,86.83,54.0,200.0,22.28,4683.5,53.94,1,0,0,0,0,DoS,1
192.168.1.68,10.0.0.45,55103,8080,TCP,0.6207,29,54,83,533.38,356.32,710.44,88.53,71325.46,133.72,0,0,0,1,1,Normal,0
192.168.1.130,10.0.0.36,43839,4444,TCP,28.7413,108,40,148,526.98,64.0,1460.0,184.51,2713.62,5.15,1,1,0,1,1,Infiltration,1
192.168.1.38,10.0.0.20,44316,4444,TCP,20.3781,238,161,399,659.71,64.0,1460.0,163.04,12916.95,19.58,1,1,0,1,1,Infiltration,1
192.168.1.162,10.0.0.23,43478,8080,UDP,3.6741,69,22,91,692.05,435.32,948.78,128.36,17140.6,24.77,0,1,0,0,1,Normal,0
192.168.1.12,10.0.0.42,51958,22,TCP,10.3964,62,119,181,494.86,359.36,630.35,67.75,8615.41,17.41,1,1,0,0,0,Normal,0
192.168.1.242,10.0.0.13,12133,80,TCP,0.9612,70,71,141,309.31,189.1,429.51,60.1,45372.03,146.69,0,1,0,0,1,Normal,0
192.168.1.217,10.0.0.11,54860,53,TCP,0.3498,53,35,88,464.89,238.61,691.17,113.14,116950.92,251.57,0,1,0,1,1,Normal,0
192.168.1.62,10.0.0.8,58837,8080,TCP,1.1269,31,61,92,537.35,273.46,801.24,131.94,43870.41,81.64,0,0,0,1,0,Normal,0
192.168.1.201,10.0.0.16,34721,80,TCP,0.0367,2005,9,2014,62.84,40.0,128.0,3.94,3446163.45,54837.64,1,0,0,0,0,DDoS,1
192.168.1.34,10.0.0.9,1940,8080,UDP,0.1571,91,88,179,584.91,417.95,751.87,83.48,666581.29,1139.63,0,1,0,1,1,Normal,0
192.168.1.253,10.0.0.27,1714,443,TCP,1.1957,4,99,103,661.35,454.82,867.87,103.26,56971.52,86.14,0,0,0,0,0,Normal,0
192.168.1.204,10.0.0.34,63999,8080,UDP,3.9902,85,73,158,779.78,634.57,924.99,72.6,30876.77,39.6,0,1,0,0,1,Normal,0
192.168.1.235,10.0.0.42,24041,6667,TCP,15.1353,29,10,39,204.27,50.0,400.0,6.58,526.35,2.58,1,1,0,0,0,Botnet,1
192.168.1.185,10.0.0.37,42960,8080,UDP,1.5928,98,28,126,584.72,412.67,756.78,86.03,46255.92,79.11,0,1,0,1,1,Normal,0
192.168.1.225,10.0.0.8,42364,22,TCP,1.1465,73,33,106,625.64,561.19,690.1,32.23,57845.81,92.46,1,1,0,1,0,Normal,0
192.168.1.65,10.0.0.5,7804,53,TCP,6.3116,53,98,151,402.23,187.57,616.9,107.33,9623.18,23.92,0,0,0,0,1,Normal,0
192.168.1.250,10.0.0.46,59399,5555,TCP,50.3544,82,40,122,799.17,64.0,1460.0,57.18,1936.26,2.42,1,1,0,1,1,Infiltration,1
192.168.1.81,10.0.0.19,42816,53,ICMP,4.2576,9,4,13,502.06,401.91,602.2,50.07,1532.97,3.05,0,1,0,0,1,Normal,0
192.168.1.96,10.0.0.34,56942,80,TCP,2.9296,1052,0,1052,100.07,54.0,200.0,8.58,35932.81,359.09,1,0,0,0,0,DoS,1
192.168.1.90,10.0.0.33,3621,80,TCP,4.2016,919,4,923,89.19,54.0,200.0,11.41,19592.19,219.68,1,0,0,0,0,DoS,1
192.168.1.146,10.0.0.38,64856,8080,ICMP,5.0338,6,13,19,569.48,395.99,742.97,86.75,2149.49,3.77,0,1,0,0,1,Normal,0
192.168.1.40,10.0.0.28,14947,80,TCP,1.2091,1179,1,1180,94.16,54.0,200.0,22.73,91896.91,975.96,1,0,0,0,0,DoS,1
192.168.1.198,10.0.0.15,26598,443,UDP,2.5409,24,28,52,506.78,380.28,633.28,63.25,10371.43,20.47,0,1,0,0,1,Normal,0
192.168.1.216,10.0.0.37,2995,443,TCP,0.3119,3749,4,3753,59.85,40.0,128.0,9.01,720139.05,12031.8,1,0,0,0,0,DDoS,1
192.168.1.137,10.0.0.2,7427,80,UDP,0.2314,1648,8,1656,60.45,40.0,128.0,6.59,432697.35,7157.66,1,0,0,0,0,DDoS,1
192.168.1.82,10.0.0.31,29784,53,TCP,2.6737,67,11,78,525.12,258.67,791.57,133.23,15319.59,29.17,0,1,0,0,1,Normal,0
192.168.1.172,10.0.0.19,50329,443,TCP,3.5589,30,6,36,517.92,318.04,717.79,99.94,5239.01,10.12,0,0,0,1,1,Normal,0
192.168.1.242,10.0.0.39,52007,22,TCP,1.9238,47,71,118,386.12,60.0,600.0,14.25,23683.52,61.34,1,1,1,1,1,Brute Force,1
192.168.1.226,10.0.0.42,18796,443,TCP,5.7962,98,85,183,444.86,396.14,493.58,24.36,14045.16,31.57,0,1,0,1,0,Normal,0
192.168.1.55,10.0.0.5,65118,80,TCP,0.185,79,61,140,547.46,434.8,660.12,56.33,414305.46,756.78,0,0,0,0,1,Normal,0
192.168.1.195,10.0.0.46,54194,443,TCP,1.408,2,41,43,531.61,250.24,812.97,140.68,16234.97,30.54,0,1,0,1,0,Normal,0
192.168.1.189,10.0.0.9,64330,443,TCP,0.1073,2883,5,2888,54.49,40.0,128.0,6.07,1466761.86,26920.34,1,0,0,0,0,DDoS,1
192.168.1.148,10.0.0.29,2119,80,TCP,1.4098,723,3,726,135.3,54.0,200.0,11.02,69672.65,514.95,1,0,0,0,0,DoS,1
192.168.1.33,10.0.0.42,6003,22,TCP,0.1346,43,66,109,424.84,351.39,498.28,36.72,344110.2,809.98,0,1,0,1,1,Normal,0
192.168.1.171,10.0.0.47,15804,443,TCP,5.6599,81,16,97,529.38,245.96,812.81,141.71,9072.63,17.14,1,1,0,0,1,Normal,0
192.168.1.244,10.0.0.14,57149,8080,TCP,4.9784,30,49,79,417.6,137.43,697.78,140.09,6626.84,15.87,0,1,0,0,1,Normal,0
192.168.1.174,10.0.0.14,46789,443,UDP,0.078,3231,7,3238,56.28,40.0,128.0,8.67,2335732.29,41502.93,1,0,0,0,0,DDoS,1
